risk_type,detected_indicators,mitigation,suggestions,owner
R086 - PII in LLM Prompts: Accidentally sending client PII to public AI provider,"Privacy violations;Compliance breaches;Data leakage;Legal penalties","Implement PII detection and redaction;Use private model deployments;Implement data classification;Use on-premise AI solutions","Conduct privacy assessments;Implement DLP;Train teams on privacy;Regular compliance audits",Compliance Officer
R087 - High Cost-per-Call: AI APIs costing more than customer is paying,"Margin erosion;Financial losses;Unsustainable pricing;Business viability issues","Implement cost monitoring and alerts;Optimize model usage;Use cost-effective models;Implement caching strategies","Conduct cost analysis;Optimize pricing;Use reserved capacity;Monitor usage patterns",Product Manager
R088 - Hallucinations in Structured API: AI returning invalid JSON schema,"Parser failures;Integration errors;Data validation issues;Service disruptions","Implement strict output validation;Use structured output modes;Implement schema validation;Use fallback mechanisms","Test AI outputs thoroughly;Implement retry logic;Use output parsers;Monitor validation failures",ML Engineer
R089 - Data Leakage in Vector DB: API querying vectors without proper RBAC,"Unauthorized data access;Privacy violations;Security breaches;Compliance issues","Implement RBAC for vector databases;Use tenant isolation;Implement access logging;Use encryption for vectors","Conduct security audits;Implement access controls;Monitor query patterns;Use secure vector databases",Security Lead
R090 - RAG Retrieval Failure: API returning irrelevant context to LLM,"Low accuracy;Poor quality outputs;User dissatisfaction;Feature failures","Optimize vector search parameters;Implement relevance scoring;Use hybrid search;Implement context validation","Monitor retrieval quality;Implement feedback loops;Optimize embeddings;Test retrieval accuracy",ML Engineer
R091 - Lack of AI Guardrails: API allowing toxic or biased AI responses,"Reputational damage;User harm;Compliance issues;Brand damage","Implement content filtering;Use toxicity detection;Implement bias detection;Use AI safety frameworks","Conduct AI ethics reviews;Implement human review;Monitor AI outputs;Train models responsibly",AI Ethics Lead
R092 - Cold-Start for GPU-bound APIs: Delays in spinning up inference nodes,"High latency;Poor user experience;Inconsistent performance;SLA breaches","Use provisioned capacity;Implement model caching;Use warm pools;Optimize model loading","Monitor cold start metrics;Use appropriate infrastructure;Implement pre-warming;Optimize deployment",ML Engineer
R093 - Training Data Leakage: API exposing data the model was trained on,"IP leakage;Privacy violations;Competitive disadvantage;Compliance issues","Implement output filtering;Use differential privacy;Implement data sanitization;Monitor for memorization","Conduct privacy audits;Use privacy-preserving techniques;Test for data leakage;Implement access controls",AI Security Lead
R094 - Feedback Loop Failure: API not capturing user thumbs up/down for RLHF,"Model stagnation;Quality degradation;Missed improvement opportunities;Poor user alignment","Implement feedback collection mechanisms;Use feedback for model improvement;Implement analytics;Use RLHF pipelines","Monitor feedback rates;Implement feedback incentives;Use feedback analysis;Conduct regular model updates",ML Engineer
R095 - Batch vs Stream Inconsistency: API results differing from batch processing,"Data inconsistencies;User confusion;Quality issues;Trust problems","Ensure consistency between batch and streaming;Use same model versions;Implement validation;Document differences","Test for consistency;Monitor discrepancies;Use unified processing;Implement reconciliation",ML Engineer
R096 - Schema Rigidity in AI: Inability of API to handle evolving AI outputs,"Integration breaks;Maintenance overhead;Poor flexibility;Technical debt","Design flexible schemas;Use optional fields;Implement schema evolution;Use dynamic parsing","Implement schema versioning;Test with various outputs;Use schema validation;Document schema changes",Backend Engineer
R097 - Unmonitored AI Quotas: Running out of OpenAI/Anthropic tokens mid-day,"Service outages;Feature unavailability;User impact;Business disruption","Implement quota monitoring and alerting;Use multiple providers;Implement quota management;Use reserved capacity","Monitor usage patterns;Implement quota forecasting;Use auto-scaling quotas;Establish vendor relationships",ML Engineer
R098 - Model Poisoning: Malicious data fed into fine-tuning via API,"AI sabotage;Model corruption;Quality degradation;Security breaches","Implement input validation for training data;Use data provenance tracking;Implement anomaly detection;Use secure training pipelines","Conduct security reviews;Implement access controls;Monitor training data;Use data validation",AI Security Lead
R099 - Lack of Explainability: API provides answer but no Reasoning trace,"Trust deficit;Difficult debugging;Compliance issues;User skepticism","Implement explainability features;Use chain-of-thought prompting;Provide reasoning traces;Implement confidence scores","Document AI decision making;Implement interpretability tools;Use transparent models;Provide explanations",ML Engineer
R100 - Over-reliance on AI: API failing when underlying AI service is down,"Low resilience;Service disruptions;Business impact;Poor user experience","Implement fallback mechanisms;Use multiple AI providers;Implement graceful degradation;Use caching for common queries","Monitor AI service health;Implement circuit breakers;Use hybrid approaches;Test failure scenarios",ML Engineer
